-- Kotlin-legacy golden vectors for ln/log10/exp/exp10.
-- Generated by GenerateGoldenVectors; format is Intel readtest.in but
-- RESULT and FLAGS are the Kotlin implementation's own output.
bid128_log 0 [00000000000000000000000000000000] [f8000000000000000000000000000000] 04
bid128_log 0 [00000000000000000000000000000001] [b006461d212a90ec80dd3e73bdfcaa07] 20
bid128_log 0 [00000000000000000000000000000003] [b006461bbe2f7cce09857535350ad35b] 20
bid128_log 0 [30360000000000000000000000000001] [b00038c35ad9d6d20a2683cdc93afa66] 20
bid128_log 0 [0000106f4216d9dbbd95c90355555555] [b00645be9bf84701158769a47a2f9929] 20
bid128_log 0 [00000000000000000000000000000000] [f8000000000000000000000000000000] 04
bid128_log 0 [00420000000000000000000000000001] [b00645bd38fd32e29e2fa065f13dc27d] 20
bid128_log 0 [00420000000000000000000000000003] [b00645bbd6021ec426d7d727684bebd1] 20
bid128_log 0 [303e000000000000000000000000000b] [2ffbd5ea5c0b4edd50d666580f5f04dd] 20
bid128_log 0 [b03e000000000000000000000000000b] [7c000000000000000000000000000000] 01
bid128_log 0 [2ffded09bead87c0378d8e63ffffffff] [afba314dc6448d9338c15b0a00000000] 20
bid128_log 0 [303c000000000000000000000000013a] [2ffe386a1f4488fc50bfdbd9bd21617b] 20
bid128_log 0 [303c000000000000000000000000013b] [2ffe38924147c872f65ba59c03a9495a] 20
bid128_log 0 [5ffea45894e4829567d9da2155555555] [300645c1a604dea5b875c1b3e14fbbca] 20
bid128_log 0 [5fffed09bead87c0378d8e63ffffffff] [300645c308fff2c42fcd8af26a419276] 20
bid128_log 0 [000e0000000000000000000000000000] [f8000000000000000000000000000000] 04
bid128_log 0 [276e0000000000000000000000000000] [f8000000000000000000000000000000] 04
bid128_log 0 [78000000000000000000000000000000] [78000000000000000000000000000000] 00
bid128_log 0 [78000000000000000000000000000000] [78000000000000000000000000000000] 00
bid128_log 0 [7c000000000000000000000000000000] [7c000000000000000000000000000000] 00
bid128_log 0 [7c000001000000000000000000000000] [7c000001000000000000000000000000] 00
bid128_log 0 [7c000000000000000000000000000000] [7c000000000000000000000000000000] 00
bid128_log 0 [7e000000000000000000000000000000] [7c000000000000000000000000000000] 01
bid128_log 0 [7e000000000000000000000000000000] [7c000000000000000000000000000000] 01
bid128_log 0 [7e000000000000000000000000000001] [7c000000000000000000000000000001] 01
bid128_log 0 [80000000000000000000000000000000] [f8000000000000000000000000000000] 04
bid128_log 0 [800e0000000000000000000000000000] [f8000000000000000000000000000000] 04
bid128_log 0 [a76e0000000000000000000000000000] [f8000000000000000000000000000000] 04
bid128_log 0 [f8000000000000000000000000000000] [7c000000000000000000000000000000] 01
bid128_log 0 [f8000000000000000000000000000000] [7c000000000000000000000000000000] 01
bid128_log 0 [fc000000000000000000000000000000] [fc000000000000000000000000000000] 00
bid128_log 0 [fc000001000000000000000000000000] [fc000001000000000000000000000000] 00
bid128_log 0 [fe000000000000000000000000000000] [fc000000000000000000000000000000] 01
bid128_log 0 [fe000000000000000000000000000001] [fc000000000000000000000000000001] 01
