// generated from TestRoundToIntegralQuiet.swift — 40 cases
d128_round_integral_nearest_even TIES_TO_EVEN Infinity -> Infinity
d128_round_integral_zero TOWARD_ZERO -Infinity -> -Infinity
d128_round_integral_nearest_even TIES_TO_EVEN NaN -> NaN
d128_round_integral_nearest_even TIES_TO_EVEN 42 -> 42
d128_round_integral_zero TOWARD_ZERO -7 -> -7
d128_round_integral_nearest_even TIES_TO_EVEN 1.00E+3 -> 1.00E+3
d128_round_integral_nearest_even TIES_TO_EVEN 0 -> 0
d128_round_integral_nearest_even TIES_TO_EVEN -0 -> -0
d128_round_integral_nearest_even TIES_TO_EVEN 0.000 -> 0
d128_round_integral_nearest_even TIES_TO_EVEN 0.5 -> 0
d128_round_integral_nearest_away TIES_TO_AWAY 0.5 -> 1
d128_round_integral_nearest_even TIES_TO_EVEN -0.5 -> -0
d128_round_integral_nearest_away TIES_TO_AWAY -0.5 -> -1
d128_round_integral_zero TOWARD_ZERO 0.5 -> 0
d128_round_integral_negative TOWARD_NEGATIVE 0.5 -> 0
d128_round_integral_positive TOWARD_POSITIVE 0.5 -> 1
d128_round_integral_nearest_even TIES_TO_EVEN 0.1 -> 0
d128_round_integral_positive TOWARD_POSITIVE 0.1 -> 1
d128_round_integral_negative TOWARD_NEGATIVE -0.1 -> -1
d128_round_integral_zero TOWARD_ZERO -0.1 -> -0
d128_round_integral_nearest_even TIES_TO_EVEN 0.9 -> 1
d128_round_integral_zero TOWARD_ZERO 0.9 -> 0
d128_round_integral_nearest_even TIES_TO_EVEN -0.9 -> -1
d128_round_integral_nearest_even TIES_TO_EVEN 0.05 -> 0
d128_round_integral_positive TOWARD_POSITIVE 0.05 -> 1
d128_round_integral_nearest_even TIES_TO_EVEN 2.5 -> 2
d128_round_integral_nearest_away TIES_TO_AWAY 2.5 -> 3
d128_round_integral_nearest_even TIES_TO_EVEN 3.5 -> 4
d128_round_integral_nearest_away TIES_TO_AWAY 3.5 -> 4
d128_round_integral_nearest_even TIES_TO_EVEN -2.5 -> -2
d128_round_integral_nearest_away TIES_TO_AWAY -2.5 -> -3
d128_round_integral_nearest_even TIES_TO_EVEN 2.1 -> 2
d128_round_integral_nearest_even TIES_TO_EVEN 2.7 -> 3
d128_round_integral_positive TOWARD_POSITIVE 2.1 -> 3
d128_round_integral_negative TOWARD_NEGATIVE 2.1 -> 2
d128_round_integral_positive TOWARD_POSITIVE -2.1 -> -2
d128_round_integral_negative TOWARD_NEGATIVE -2.1 -> -3
d128_round_integral_nearest_even TIES_TO_EVEN 9.5 -> 10
d128_round_integral_nearest_away TIES_TO_AWAY 99.5 -> 100
d128_round_integral_nearest_even TIES_TO_EVEN 999.5 -> 1000
