// from TestD128Sqrt: ExactTC + RefTC + testSpecialCases (sqrt is correctly-rounded; flags lib-pinned)
d128_sqrt_ctx TIES_TO_EVEN 0 -> 0
d128_sqrt_ctx TIES_TO_EVEN -0 -> -0
d128_sqrt_ctx TIES_TO_EVEN 1 -> 1
d128_sqrt_ctx TIES_TO_EVEN 4 -> 2
d128_sqrt_ctx TIES_TO_EVEN 9 -> 3
d128_sqrt_ctx TIES_TO_EVEN 16 -> 4
d128_sqrt_ctx TIES_TO_EVEN 25 -> 5
d128_sqrt_ctx TIES_TO_EVEN 81 -> 9
d128_sqrt_ctx TIES_TO_EVEN 100 -> 10
d128_sqrt_ctx TIES_TO_EVEN 121 -> 11
d128_sqrt_ctx TIES_TO_EVEN 10000 -> 100
d128_sqrt_ctx TIES_TO_EVEN 0.25 -> 0.5
d128_sqrt_ctx TIES_TO_EVEN 1.21 -> 1.1
d128_sqrt_ctx TIES_TO_EVEN 2.25 -> 1.5
d128_sqrt_ctx TIES_TO_EVEN 0.0625 -> 0.25
d128_sqrt_ctx TIES_TO_EVEN 100000000000000000000000000000000 -> 10000000000000000
d128_sqrt_ctx TIES_TO_EVEN 100000000000000020000000000000001 -> 10000000000000001
d128_sqrt_ctx TIES_TO_EVEN 2 -> 1.414213562373095048801688724209698 x
d128_sqrt_ctx TIES_TO_EVEN 3 -> 1.732050807568877293527446341505872 x
d128_sqrt_ctx TIES_TO_EVEN 5 -> 2.236067977499789696409173668731276 x
d128_sqrt_ctx TIES_TO_EVEN 6 -> 2.449489742783178098197284074705891 x
d128_sqrt_ctx TIES_TO_EVEN 7 -> 2.645751311064590590501615753639260 x
d128_sqrt_ctx TIES_TO_EVEN 8 -> 2.828427124746190097603377448419396 x
d128_sqrt_ctx TIES_TO_EVEN 10 -> 3.162277660168379331998893544432719 x
d128_sqrt_ctx TIES_TO_EVEN 11 -> 3.316624790355399849114932736670687 x
d128_sqrt_ctx TIES_TO_EVEN 13 -> 3.605551275463989293119221267470496 x
d128_sqrt_ctx TIES_TO_EVEN 17 -> 4.123105625617660549821409855974077 x
d128_sqrt_ctx TIES_TO_EVEN 99 -> 9.949874371066199547344798210012060 x
d128_sqrt_ctx TIES_TO_EVEN 0.5 -> 0.7071067811865475244008443621048490 x
d128_sqrt_ctx TIES_TO_EVEN 1.5 -> 1.224744871391589049098642037352946 x
d128_sqrt_ctx TIES_TO_EVEN 2.5 -> 1.581138830084189665999446772216359 x
d128_sqrt_ctx TIES_TO_EVEN 0.1 -> 0.3162277660168379331998893544432719 x
d128_sqrt_ctx TIES_TO_EVEN 0.2 -> 0.4472135954999579392818347337462552 x
d128_sqrt_ctx TIES_TO_EVEN 0.3 -> 0.5477225575051661134569697828008021 x
d128_sqrt_ctx TIES_TO_EVEN 0.7 -> 0.8366600265340755479781720257851875 x
d128_sqrt_ctx TIES_TO_EVEN 1.23456789 -> 1.111111106055555544054166614335347 x
d128_sqrt_ctx TIES_TO_EVEN 3.14159265358979 -> 1.772453850905515113744722430651687 x
d128_sqrt_ctx TIES_TO_EVEN 1234567890123456789012345678901234 -> 35136418288201442.53111222381699882 x
d128_sqrt_ctx TIES_TO_EVEN 9999999999999999999999999999999999 -> 99999999999999999.99999999999999999 x
d128_sqrt_ctx TIES_TO_EVEN 1000000000000000000000000000000001 -> 31622776601683793.31998893544432720 x
d128_sqrt_ctx TIES_TO_EVEN 5000000000000000000000000000000000 -> 70710678118654752.44008443621048490 x
d128_sqrt_ctx TIES_TO_EVEN 7E-5000 -> 2.645751311064590590501615753639260E-2500 x
d128_sqrt_ctx TIES_TO_EVEN 3E+5000 -> 1.732050807568877293527446341505872E+2500 x
d128_sqrt_ctx TIES_TO_EVEN 1E-100 -> 1E-50
d128_sqrt_ctx TIES_TO_EVEN 1E+99 -> 3.162277660168379331998893544432719E+49 x
d128_sqrt_ctx TIES_TO_EVEN 1E+100 -> 1E+50
d128_sqrt_ctx TIES_TO_EVEN 2E+99 -> 4.472135954999579392818347337462552E+49 x
