# decimal128 canonical text -> BID -> DPD encoding vectors (100 values)
# Generated from the decimal128-c engine via the decimal128-python wrapper.
# Every row is round-trip verified: text <-> BID <-> DPD all agree.
#
# Format: comma-separated. '#' begins a comment to end of line.
#         Blank lines and surrounding whitespace are ignored.
# Columns: canonical_text , BID_hex , DPD_hex
#   hex = 0x + 32 UPPERCASE hex digits, most-significant word first.
#
Infinity                                   , 0x78000000000000000000000000000000 , 0x78000000000000000000000000000000   # positive infinity
-Infinity                                  , 0xF8000000000000000000000000000000 , 0xF8000000000000000000000000000000   # negative infinity
NaN                                        , 0x7C000000000000000000000000000000 , 0x7C000000000000000000000000000000   # quiet NaN, no payload
-NaN                                       , 0xFC000000000000000000000000000000 , 0xFC000000000000000000000000000000   # quiet NaN, negative sign
NaN1                                       , 0x7C000000000000000000000000000001 , 0x7C000000000000000000000000000001   # quiet NaN, payload 1
-NaN1                                      , 0xFC000000000000000000000000000001 , 0xFC000000000000000000000000000001   # quiet NaN, negative, payload 1
NaN12345                                   , 0x7C000000000000000000000000003039 , 0x7C0000000000000000000000000049C5   # quiet NaN, payload 12345
-NaN12345                                  , 0xFC000000000000000000000000003039 , 0xFC0000000000000000000000000049C5   # quiet NaN, negative, payload 12345
NaN1234567890123456                        , 0x7C00000000000000000462D53C8ABAC0 , 0x7C00000000000000000534B9C1E28E56   # quiet NaN, large payload
-NaN1234567890123456                       , 0xFC00000000000000000462D53C8ABAC0 , 0xFC00000000000000000534B9C1E28E56   # quiet NaN, negative, large payload
sNaN                                       , 0x7E000000000000000000000000000000 , 0x7E000000000000000000000000000000   # signaling NaN, no payload
-sNaN                                      , 0xFE000000000000000000000000000000 , 0xFE000000000000000000000000000000   # signaling NaN, negative sign
sNaN1                                      , 0x7E000000000000000000000000000001 , 0x7E000000000000000000000000000001   # signaling NaN, payload 1
-sNaN1                                     , 0xFE000000000000000000000000000001 , 0xFE000000000000000000000000000001   # signaling NaN, negative, payload 1
sNaN12345                                  , 0x7E000000000000000000000000003039 , 0x7E0000000000000000000000000049C5   # signaling NaN, payload 12345
-sNaN12345                                 , 0xFE000000000000000000000000003039 , 0xFE0000000000000000000000000049C5   # signaling NaN, negative, payload 12345
sNaN1234567890123456                       , 0x7E00000000000000000462D53C8ABAC0 , 0x7E00000000000000000534B9C1E28E56   # signaling NaN, large payload
-sNaN1234567890123456                      , 0xFE00000000000000000462D53C8ABAC0 , 0xFE00000000000000000534B9C1E28E56   # signaling NaN, negative, large payload
0                                          , 0x30400000000000000000000000000000 , 0x22080000000000000000000000000000   # zero
-0                                         , 0xB0400000000000000000000000000000 , 0xA2080000000000000000000000000000   # negative zero
0E+10                                      , 0x30540000000000000000000000000000 , 0x220A8000000000000000000000000000   # zero with positive exponent
0E-10                                      , 0x302C0000000000000000000000000000 , 0x22058000000000000000000000000000   # zero with negative exponent
0E+6111                                    , 0x5FFE0000000000000000000000000000 , 0x43FFC000000000000000000000000000   # zero at max exponent
0E-6176                                    , 0x00000000000000000000000000000000 , 0x00000000000000000000000000000000   # zero at min exponent
1.00                                       , 0x303C0000000000000000000000000064 , 0x22078000000000000000000000000080   # trailing zeros / quantum preserved
1.000000000000000000000000000000000        , 0x2FFE314DC6448D9338C15B0A00000000 , 0x25FFC000000000000000000000000000   # 34-digit fraction
1E-6143                                    , 0x00420000000000000000000000000001 , 0x00084000000000000000000000000001   # smallest normal
1E-6176                                    , 0x00000000000000000000000000000001 , 0x00000000000000000000000000000001   # smallest subnormal (min positive)
-1E-6176                                   , 0x80000000000000000000000000000001 , 0x80000000000000000000000000000001   # smallest subnormal, negative
9E-6176                                    , 0x00000000000000000000000000000009 , 0x00000000000000000000000000000009   # subnormal, largest single-digit coeff
9.999999999999999999999999999999999E-6143  , 0x0001ED09BEAD87C0378D8E63FFFFFFFF , 0x64000FF3FCFF3FCFF3FCFF3FCFF3FCFF   # largest subnormal coefficient
1234567890123456789012345678901234         , 0x30403CDE6FFF9732DE825CD07E96AFF2 , 0x2608134B9C1E28E56F3C127177823534   # full 34-digit coefficient
9999999999999999999999999999999999         , 0x3041ED09BEAD87C0378D8E63FFFFFFFF , 0x6E080FF3FCFF3FCFF3FCFF3FCFF3FCFF   # 34 nines
9.999999999999999999999999999999999E+6144  , 0x5FFFED09BEAD87C0378D8E63FFFFFFFF , 0x77FFCFF3FCFF3FCFF3FCFF3FCFF3FCFF   # largest finite (max positive)
-9.999999999999999999999999999999999E+6144 , 0xDFFFED09BEAD87C0378D8E63FFFFFFFF , 0xF7FFCFF3FCFF3FCFF3FCFF3FCFF3FCFF   # most negative finite
1.000000000000000000000000000000000E+6144  , 0x5FFE314DC6448D9338C15B0A00000000 , 0x47FFC000000000000000000000000000   # power of ten near top of range
1                                          , 0x30400000000000000000000000000001 , 0x22080000000000000000000000000001   # generated finite
-1                                         , 0xB0400000000000000000000000000001 , 0xA2080000000000000000000000000001   # generated finite
2                                          , 0x30400000000000000000000000000002 , 0x22080000000000000000000000000002   # generated finite
